ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1979.008.PfA.HaSch,Untitled,1979,801 W. 37th Street,,Hans K. Schuler,,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21211,Hampden ES,North wall,Hampden ES,,terra cotta,,"1979.008.PfA.HaSch-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/yR2VjTMIwrYS9jdPNnHYog/VyCpYa0uKhKtzzQ5h3NFCj1dsyTzuyl_YOF2SKMFrGcJAc6QcjxpFzls72SerG4ghYY1vmUk0JlqdVwW1RqnVA/8xz28HXt26IR8idh7mKUCIJjxLYjdO3nTnv7EPnJg_U),1979.008.PfA.HaSch-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/iYtwVdbwDHUWx0iG02gCmQ/is-QP5rq8A6vFRhyqcbTSky2ypLEbXpMmsUH2YoqdaG1OzUt1kDfOSY3H8fdsAYsxOEkBnm_EAwrkhuqW5AGNg/BcaOKe6nCj72bXF7ZBhOwmQuRG1sMQ1SHIn7IVXtF_s),1979.008.PfA.HaSch-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/otADM1ZtoNMcmc8SGVR-KQ/pn7wgdDHxoZcK8DHd-O23JxKNhFQgaclfmWYCLiLiIV8rttGxDHBMA4J_LAIx4e2xGzgbBbMJR2plCmDG7Pp_A/Wh_zNyiqvP2MH7nWf_EKEg1T3L_yxaC-bzJljKnHhh4),1979.008.PfA.HaSch-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/AUOr54c-uyXHNJaZhAsbHQ/kcOoh4IhGgsvoduDinrFczWFuKoWADD2AQToeg5vbXmEYoI8iFpVeQD-RxK4qX5NkhVrEiH10V9f2EQwHHZLPQ/lZ-M9MiBpx9mXC8WfEvygh1RcElxef3_Oe-T1kBi3QE)",,,,Male,,,,,,,,District 14,Hampden,Medfield/Hampden/Woodberry/Remington,7460,,,,,39.332331,-76.629622,12/8/2022 2:54pm
1978.024.XXX.PaShe,Archimedean Spiral,1978,333 Cassell Drive,,Paul Helmsley Shephard,Sculpture,,Private Property,,,,,,,,Baltimore,MD,21224,Johns Hopkins Bayview Alpha Building,East side grassy area,,Outdoor,aluminum,,,,,9 x 12 x 11 ft.,Male,,,checked,,,,node/9987317291,District 1,Hopkins Bayview,Orangeville/East Highlandtown,3386,,Condition assessment (1991),"pit holes, very dirty, grass clippings around base",,39.288686,-76.551832,12/8/2022 2:54pm
1978.699.XXX.FeStr,Baltimore City Fraternal Order of Police Memorial,1978,N. President Street,Street name,Ferebee Streett-Thulman,Memorial,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,City of Baltimore - BOPA,,,,,,Baltimore,MD,21202,Shot Tower Park,East side of President St at Fayette St.,Shot Tower Park,Outdoor,,Uniformed man on bended knee with little girl holding hat and touching man's back,,,,,Female,,"Trash in area surounding memorial, needs attention",,,,,node/1313503951,District 12,Jonestown,Harbor East/Little Italy,6847,,Condition assessment (2005),"Trash in area surounding memorial, needs attention",,39.290359,-76.605948,12/8/2022 2:54pm
1978.028.XXX.GeSug,Baltimore Federal,1978,101 W. Lombard Street,,George Sugarman,Sculpture,in place,Federal Property,,,,,,5/1/1978,,Baltimore,MD,21201,E.A. Garmatz Federal Building,Entrance plaza near Hanover & Lombard St.,,Outdoor,painted aluminum,,"14d_Sugarman G_1978.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/nDu_EsT0zczhEEzGVHZEmQ/1kHgnO31QTYeCaKXQDVNYwlzDMMkADJeLTKwsRpIKESDPN3riV0WhBrb91CyC4IM/9WmIOx6gEHbKcDR1WSDSLlFefXDyllkxiR6S0xpcFvE),14c_Sugarman G_1978.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/JeqWvUlIMVbXcjSF9QYiLA/gK0MZyCWy5KWhSUpkAu-jUsvsEtRnV8gTYl6-3pboLwIOPAle5TxruQemt_LYdqK/QX6kwZu-SL1iW7of5ulIC8pNDkUHNd24rF4Nup3incA),14b_Sugarman G_1978.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/G4qQQ8DEn14kqriNw0pYYw/6iowrVY9-ZKQb1Qkl9hAWLFeNe9Wxxoc0Qca2P9n8zDW8kTp2WvmPavAVMGDEdcy/qpVMNDFdyccWeLi4OJiM4WrBUV90lalcdtbn61wA8w0),14a_Sugarman G_1978.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/GhRO9lvTeMiAa-m3MWqTEQ/zC_sqFqtT3JUYg4DBArQjGDAXozS2x51EC_-2X6IGd7Fflw3fpz9za3FyR1FhTo-/TDtAsOB8Y4WPlOghQxfywA7cnF3tDfp6x5wlCKmCMPM),14_Sugarman G_1978.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/iBYDo7e8tRITbwOr3A49kg/NZPevu56-JfUwHswuMUU--qEt3gdTeh2EsbqdFu-_pzYLSUyjILiQBikXUeonktN/fONNmP3HuvRylvuHPmXkTU-Mk-F2BW2omPi2HhaOAcA),IMG_8139.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/uasMdVWlIrrnVtEH870YVQ/LQNvSQ70d6QNG0TG_Xc53WiZoS4h5dgXMsLU__nX6jGkxSpBpxYN_rKt6TA7RvLNu_8jg15a1yyddwOfj07gudGQ_VVJ8RzUSf-q1pniWLY/yTNheP10x0t96faQQrDfZrNtgYzH0LfC18A5cUhcG4Q),IMG_8141.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/INmOSSTxsnscdpRrrvZmpA/91X527OAoH2gGn4y4J8n8wRF3iwWnAUSAKsNiFuSQJwJSHYd4lVSw4XBJiurYumBiD9wx27IBOgZR1A9ooOb_pAn9F4tkqk-xyoMGeCq7A4/orbb5AYRR9gQ0JBdTSFSKV_LEnJRQWzvi9Sw8H2bbwk),IMG_8143.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/aYANsjg3QTeNv3t3vOdexw/y4iearNasQ2SJekvOXnvgQZj6XGQr5l_LQTgAZJ0cq7OwudozozzviJ50uBrk5y4JlwbQdt-GOgcbrTw9OxLXoSIgJzqZFNFm6DIa_hbxXg/b2U5hhT7ilGg0ufDrq7KgokSayH6jQ1U8PdvI_eNVdI),IMG_8150.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Kwe4zPefK_nMnUdTII7_dA/WJHRIXkHQ_rrwbXxiZrCLffXXxE7vBkvDhn2hw41xHWXwS-xDO6P-tjz1qQHfhIUU777nRU03IzDvvHWmBah0Lz6NYFmZZGX4Pxm4tdxfnY/JspBjcXyKX2cgA2KAKXIk7n8-AT7u9RMz0w5w3Uq_ho),IMG_8160.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Z1W_CNfgq_nd9SXURcJ07Q/3I2l_7ucvAoIokGGM3QvaSa2xRR8k-VDC7ri9Nu5P7-SWL7hZblIFqxb--1B6aXLeqqy3Pdl9_hv5fj19R1_YmqYcuAW3O6K77XmMBhidm4/qyj0jQbWqaT4bem1WkhFgkcX1MhDkHQuRaaDNLADjRM),IMG_8168.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/jmWuc4_mVrDp1EpB54HpmQ/JGhL1sbBtI0DsjhYMF6pRqwo7B4iiJFWMV6QfxeWulrsDTGdl1kW1JfHDOAGfL2dAh7lHZOqNW7J9TD1qf4Xz32rDNKU2ZVmC75Ptd3876s/vaFtJW-oLWlrlAwOzMxdSXSr4c81ZuZh76DLfI85zz4),IMG_8180.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/OtWMBRgrLtlYF5uV14eYzg/3rzccQP-vwvV4mSbXcJ1Y5J8zd81I1ZGF5U1avyuT2ChSqNw9s6W7JThbnUyqXJQJ5kpsBGYi-5t3KiH3eSk1fH__uCC2PI2A45D1rKKQV8/qLOwd-R7GqJTWWkDfVI4r_CGO4SWIXjXmj3FQ164WDI)",,,18 x 54 x 45 ft.,Male,,"Crack in steel of orange seat. Public hazard. Also scratched, needs cleaning; very dirty, repainted wrong colors, nuts & bolts at base rusting, bird guano, corroded",checked,,,,node/4929758574,District 11,Downtown West,Downtown/Seton Hill,9130,,"Condition assessment (2009),Condition assessment (1991)","Crack in steel of orange seat. Public hazard. Also scratched, needs cleaning, very dirty, repainted wrong colors, nuts & bolts at base rusting, bird guano, corroded",,39.287487, -76.616472,12/8/2022 2:54pm
1978.026.XXX.KeSne,Easy Landing,1978,601 Light Street,,Kenneth Snelson,Sculpture,in place – unconfirmed,Mayor & City Council,Baltimore City DHCD/BDC,,,,,,,Baltimore,MD,21202,Maryland Science Center Entrance,Inner Harbor Promenade,Maryland Science Center,Outdoor,stainless steel,stainless steel compression tubes strung together with tension cables,"23c_Snelson  K_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/kCs6sX6dhE5XVPimmD_HMA/36v-01NINA2mV6zzW1ly1yiR8MKll7UslHSfZ82iB3dmd9CNqcNBpm3NlayyexZp/saTU_Q8h_fvsZVG7uRFXl-Ti9gPnfVPpRT5Yo209X8c),23b_Snelson  K_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Y-u4tOOtMLXgA0eNPqWr7g/dZPQjgXFB_1sqT7ga9OLA8a7Ft3yXAJsB1QNtqsMkSEwxlfSdVqmXi7jrSOnLA5C/_WVuoV_uW5BNzvoDLxpD1xEMlfjIttawuavKyEmSmcs),23a_Snelson  K_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/G63mjLxnfs1a-9G1y6phtw/RLC_4gZu8HcjNu6AQ0hlx3bNj_6Aq0dINU1jGvb2Rts0ASjH6ByLxHIV-DvOlBu6/NBFnFhc6H3b4Sfp8RRPpVyrQvcUT7pzCIiqPdCZ_SWE),23_Snelson  K_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/2ZPzzXrBI93-gSZwgUx5sw/HJWuHBApu1_DoRq44di0k_XtnNPuBMQa4pm6N9c38D_EmWsCEjSEDy47FVsecvFo/xE0eUhQqtHMvc6e437PVg1etfnjOB9-ZlImOuxxwd6I)",,,24 x 72 x 50 ft.,Male,,"birds nests established in steel tubing, guano; sticker adhesive backs stuck to bases, base very dirty, black crusts, organic growth",checked,,,,node/7833960363,District 11,Inner Harbor,Inner Harbor/Federal Hill,6908,,"Condition assessment (2009),Condition assessment (1991)","birds nests established in steel tubing, guano, sticker adhesive backs stuck to bases, base very dirty, black crusts, organic growth",,39.281767,-76.611760,12/8/2022 2:54pm
1978.004.XXX.PaDan,Harpie,1978,3901 Maine Avenue,,Paul Daniel,Sculpture,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21207,Liberty Recreation Center,Above entrance,Liberty Recreation Center,Outdoor,"steel,corten steel",,"1978.004.XXX.PaDan-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/wn78NbwI_kBA0iQYJzz0KQ/YzSccLKFeAt7ke7iNlKqD3QENiAbz7cLTZRfIc3XlcMujeZYgTaJrq1Wdu1XDbhtIdoGwicaQlesUEvcXHTiCQ/SBxK7kd3mcN5ravEK2VcpVbOMNKmzVRb4TVs2lFn2dU),1978.004.XXX.PaDan-Photo2015 (6).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/rdzHne0179vnCt12MtqMmw/GjwMwJ_LY0llpL_6Voq_TZnXaEWf7DsVCtXUKnVbsS34gMKlzrxPV_jtLXWsD_KnhCX0qqAGWl-OxOIrv58TWQ/KYSeJ76Hbq_sRBZcAoh2dE9SUis5U8LT8Gi7cg0zlSE),1978.004.XXX.PaDan-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/zqPiCbqTHKlY4NXsnYInJQ/RR67o7hJE5umXAzF_gxMkwTG3lfGqeRiNxJ2HsnMfiMcQz0DJrci7F6yYFMn05QGNkb1QU-WlM2s5K-xo6Oq1A/WhIVTlAJTLDqSVQbbrGGCSZSMMJyVTJV4mrP1F2wjeI),1978.004.XXX.PaDan-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/iX0n0yvxgEjGIMivDAE7Jg/YJ1GiZrfC7A7GpvsSEU4IG45J2M4mFDvouvRpihNHc2OPv-1dMFRRWEeQo-Ss5RI5ItjZouwFKT82Ary9AUdIA/kmKyxsopO8S7KfGLPMuDrXP2bLfp5GXCoQXj9rhHb88),1978.004.XXX.PaDan-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/1iBoQLb4ac48N_RASFETVg/Ej2XZkFknU4TCITW8CvpRK-VjhHE7GBLDBpvCG7AfULSFGFUUHG2yj5aD2LDVgcypqPK2v7symvwES-mQhHfAA/HxHNr5z6OMsM5SA1OxUTW-3Bwu8t6KxZm9ljD9Oc8Xk),1978.004.XXX.PaDan-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/kzMlBLXOkJiS9axm_zTKsg/FY1AJMk_xsUkTLFiw7gmkLSkJNM6NSwwbGwfSBIFZWN8tZTXYy37X3uWKHsovH9caL6ZO4TMRU6fmzJq1sr2Zg/YNwWVjnPDcJ9Tqn5eCPinP20ozrOxv615vpuc-F6f8M)",,,15 x 9 x 11 ft.,Male,,,checked,,,,node/7834030754,District 6,Central Forest Park,Dorchester/Ashburton,1750,,Condition assessment (1991),"etched, pitted, or otherwise corroded, metallic staining from rusting bolts",,39.326385,-76.684272,12/8/2022 2:54pm
1978.011.PfA.LiKas,Hi-Fly,1978,3220 The Alameda,Intersection,Lisa Kaslow,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21218,Baltimore City College,Entrance to the gymnasium,Baltimore City College,,painted steel,,"1978.011.PfA.LiKas-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/iEl7auB7CU4j81ZjiFjinw/F3xQVhV9TXP9tvP7NBtME9K2mRZAF4CAAMi5232BKquiOYq2HIwS3KYby4IVIJWnsLgaLFmXsCZ34iUfo1GRDw/ijq54XKLEVC8cVo7UE0KkbAo1yKFNxRVFSEq0Fn9OlE),1978.011.PfA.LiKas-Photo2015 (6).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/XND7u3EYoMursc1vQJnE1g/orRx1hpaOmlOnU0vmkaF8efdbtBKLbJJ6L0RGG1Nvh8QOZ0fVWi-by34udAYCkUeUcKXcgHH3ukSUqnAe441kg/lsXO4Jp1sYi3Sz1J0kcviCU1iECb0lT6B70Aljd-2W4),1978.011.PfA.LiKas-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ZRQOE1pa4Yr9u0e02oHr0g/2L0mIk7rYg-jG2sE51LNQWNHJyrGXZYxUZXhwf8mrWbi8Ye_ZULj1qcOaxDLqj-upTQ2FXiUe7zhilUyaQ_fEw/8Kbdv65pyxPVjTPaeGxzSRLcA2M8EbuKIjYW7m5fOMg),1978.011.PfA.LiKas-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Sy0xW5_8bJ_oKtSEU_zyTA/rLPWoJkj3V_CcRr-WzY5JfOBLdV6sGOLgYIi7uArHaxzCHjb4-G0_Vxl0r2E1dHIlynxl5KUmDR98pU5UR4qrg/IA72aIkW3THcLCltgdM8xf0kcRW2jniQhZ1oAD3FOWI),1978.011.PfA.LiKas-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Md2BwJoqrNqUCnF8anzOkQ/AuIeov610p9WGLWQ5JaeZKN6Pnk8biPMgipKoSsmOle6HrQOijuH_bD6CUfAdwm2EEJr34tOc6yQLoAyj9uHBg/gPWS33tt7LZeaZga0xQJXpeOOJ3u5sF9NqVAcPVNNhg),1978.011.PfA.LiKas-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/tpWH-9Q4JUDDQlgo0Dq4FQ/IE4xtL_jxzro-FEbY1ZC7ZfV453va8evs9Vw6TD8Aqsafug_px56EbwfwhicNNvpBqTdudxjQjdpALIZiFyoDw/lzExqNsVQ3oi0slTiuqOfDg-buwO0s2CwBbLl_fKBbM)",,,,Female,,,,,,,,District 14,Coldstream Homestead Montebello,The Waverlies,5195,,,,,39.3257576,-76.5992204,12/27/2022 11:21pm
1978.006.XXX.JoFer,Number 10,1978,5100 Falls Road,,John D. Ferguson,Sculpture,in place,Private Property,,,,,,,,Baltimore,MD,21210,Cross Keys Shopping Center,Near bus/truck entrance south of main entrance,Cross Keys Shopping Center,Outdoor,corten steel,,,,Relocated a second time after reconfiguration of entrance,80 x 86 x 50 in.,Male,,,,,,,node/10258438498,District 6,Cross Keys,Greater Roland Park/Poplar Hill,2015,,,,,39.354683960572565,-76.64415820321551,12/12/2022 11:15pm
1978.022.XXX.OlSco,OM,1978,1501 Division Street,,Oliver Patrick Scott,Sculpture,in place,,,,,,,,,Baltimore,MD,21217,Constant Care Community Health Center,Entrance facade,,Outdoor,mayari r steel,,,,,11 ft. x 6 ft. 5 in. x 7 in,Male,,,checked,,,,,District 11,Upton,Upton/Druid Heights,6558,,Condition assessment (1991),"bitd guano was allowed to remain and may mar element surface, good condition, tree cover hides elements on one side",,39.30303169,-76.63162929,12/8/2022 2:54pm
1978.016.XXX.MaMea,Red Buoyant,1978,100 E. Pratt Street,,Mary Ann Mears,Sculpture,in place,,,,,,,,,Baltimore,MD,21202,IBM Building,Entrance plaza,,Outdoor,painted aluminum,,"51d_Mears M_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/bPgd7LXbw-IWsM4hi6zxQg/urgo6ycZAIOaQmH5A8rLwF6s9fjwWHsZ9NKTe_rcbYJ3QAjnIjOVhYkffQsaYAbm/DnQjoJa6GwtkwVAYU2hqa0CKvI3ceJ2GwT3ENIvSkho),51c_Mears M_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/f2BUJWQlk4q8Zs_zAzLDvw/cBTHOd-ugX5uj91oobeXxZZRqQml0yZ6IBMrob1cCf4Qiemyep-k1-lcFunWw8KF/qdpnJuABrOjgnQCihc_a-iSVziemo9nZED2l5JAcj74),51b_Mears M_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/sM5-Mz7fD-Tbi4GQA0iZYw/T3NRkm8BaSeTovxV6omakWz3dCIBwazsw77ProMOgqiL0auCtpPmvtR-8leGuNBZ/ImGVL3XopcEuHnDZuj3WfFByv8xF8VAbtp_5ndeCT9U),51a_Mears M_1978.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ImSLwQh6hznR8vWgeM3s5g/8LAvxtMZiX0EqUnp_uc8iCubZG_bsECTewQDE0O4H_W3cuYrpVGGsy1xMh6P1sOL/_uYC8snRhS4AWEskwXhZoAkUE2hYO-ss08ZnoU22ToU)",,BOPA holds a dedicated maintenance fund to care for this work.,17 x 20 x 12 ft.,Female,,"fair, repeated paint chipping and gauges due to skaters/bikers, some issues with ice building a long base",checked,,,,node/6763061486,District 11,Inner Harbor,Downtown/Seton Hill,3361,,"Conservation treatment (2000),Conservation treatment (2018),Damage assessment (2018),Condition assessment (2009)","fair, repeated paint chipping and gauges due to skaters/bikers, some issues with ice building a long base",,39.286736,-76.612783,12/8/2022 2:54pm
